Month,Unemployment_Rate,Country
2013-01-01,5.4,독일
2013-02-01,5.4,독일
2013-03-01,5.4,독일
2013-04-01,5.3,독일
2013-05-01,5.3,독일
2013-06-01,5.2,독일
2013-07-01,5.2,독일
2013-08-01,5.2,독일
2013-09-01,5.2,독일
2013-10-01,5.1,독일
2013-11-01,5.1,독일
2013-12-01,5.1,독일
2014-01-01,5.1,독일
2014-02-01,5.1,독일
2014-03-01,5.1,독일
2014-04-01,5,독일
2014-05-01,5,독일
2014-06-01,5,독일
2014-07-01,5,독일
2014-08-01,5,독일
2014-09-01,5,독일
2014-10-01,5,독일
2014-11-01,4.9,독일
2014-12-01,4.9,독일
2015-01-01,4.8,독일
2015-02-01,4.8,독일
2015-03-01,4.7,독일
2015-04-01,4.7,독일
2015-05-01,4.7,독일
2015-06-01,4.7,독일
2015-07-01,4.6,독일
2015-08-01,4.6,독일
2015-09-01,4.5,독일
2015-10-01,4.5,독일
2015-11-01,4.5,독일
2015-12-01,4.4,독일
2016-01-01,4.4,독일
2016-02-01,4.3,독일
2016-03-01,4.3,독일
2016-04-01,4.3,독일
2016-05-01,4.3,독일
2016-06-01,4.2,독일
2016-07-01,4.2,독일
2016-08-01,4.1,독일
2016-09-01,4,독일
2016-10-01,4,독일
2016-11-01,3.9,독일
2016-12-01,3.9,독일
2017-01-01,3.9,독일
2017-02-01,3.9,독일
2017-03-01,3.9,독일
2017-04-01,3.9,독일
2017-05-01,3.8,독일
2017-06-01,3.8,독일
2017-07-01,3.7,독일
2017-08-01,3.7,독일
2017-09-01,3.7,독일
2017-10-01,3.6,독일
2017-11-01,3.6,독일
2017-12-01,3.6,독일
2018-01-01,3.5,독일
2018-02-01,3.5,독일
2018-03-01,3.5,독일
2018-04-01,3.4,독일
2018-05-01,3.4,독일
2018-06-01,3.4,독일
2013-01-01,8,미국
2013-02-01,7.7,미국
2013-03-01,7.5,미국
2013-04-01,7.6,미국
2013-05-01,7.5,미국
2013-06-01,7.5,미국
2013-07-01,7.3,미국
2013-08-01,7.2,미국
2013-09-01,7.2,미국
2013-10-01,7.2,미국
2013-11-01,6.9,미국
2013-12-01,6.7,미국
2014-01-01,6.6,미국
2014-02-01,6.7,미국
2014-03-01,6.7,미국
2014-04-01,6.2,미국
2014-05-01,6.3,미국
2014-06-01,6.1,미국
2014-07-01,6.2,미국
2014-08-01,6.1,미국
2014-09-01,5.9,미국
2014-10-01,5.7,미국
2014-11-01,5.8,미국
2014-12-01,5.6,미국
2015-01-01,5.7,미국
2015-02-01,5.5,미국
2015-03-01,5.4,미국
2015-04-01,5.4,미국
2015-05-01,5.6,미국
2015-06-01,5.3,미국
2015-07-01,5.2,미국
2015-08-01,5.1,미국
2015-09-01,5,미국
2015-10-01,5,미국
2015-11-01,5.1,미국
2015-12-01,5,미국
2016-01-01,4.9,미국
2016-02-01,4.9,미국
2016-03-01,5,미국
2016-04-01,5,미국
2016-05-01,4.8,미국
2016-06-01,4.9,미국
2016-07-01,4.8,미국
2016-08-01,4.9,미국
2016-09-01,5,미국
2016-10-01,4.9,미국
2016-11-01,4.7,미국
2016-12-01,4.7,미국
2017-01-01,4.7,미국
2017-02-01,4.7,미국
2017-03-01,4.4,미국
2017-04-01,4.4,미국
2017-05-01,4.4,미국
2017-06-01,4.3,미국
2017-07-01,4.3,미국
2017-08-01,4.4,미국
2017-09-01,4.2,미국
2017-10-01,4.1,미국
2017-11-01,4.2,미국
2017-12-01,4.1,미국
2018-01-01,4.1,미국
2018-02-01,4.1,미국
2018-03-01,4,미국
2018-04-01,3.9,미국
2018-05-01,3.8,미국
2018-06-01,4,미국
2013-01-01,3.2,한국
2013-02-01,3.2,한국
2013-03-01,3.1,한국
2013-04-01,3,한국
2013-05-01,3.1,한국
2013-06-01,3.1,한국
2013-07-01,3.2,한국
2013-08-01,3.1,한국
2013-09-01,3,한국
2013-10-01,3.1,한국
2013-11-01,3,한국
2013-12-01,3.2,한국
2014-01-01,3.3,한국
2014-02-01,3.6,한국
2014-03-01,3.4,한국
2014-04-01,3.6,한국
2014-05-01,3.6,한국
2014-06-01,3.5,한국
2014-07-01,3.4,한국
2014-08-01,3.4,한국
2014-09-01,3.4,한국
